"","x"
"1",1
"2",220
"3",221
"4",226
"5",227
"6",224
"7",225
"8",576
"9",577
"10",370
"11",371
"12",556
"13",557
"14",614
"15",615
"16",636
"17",637
"18",726
"19",727
"20",564
"21",565
"22",830
"23",831
"24",826
"25",827
"26",362
"27",363
"28",462
"29",463
"30",398
"31",399
"32",368
"33",369
"34",658
"35",659
"36",834
"37",835
"38",570
"39",571
"40",860
"41",861
"42",580
"43",581
"44",572
"45",573
"46",538
"47",539
"48",928
"49",929
"50",1000
"51",1001
"52",420
"53",421
"54",954
"55",955
"56",654
"57",655
"58",866
"59",867
"60",612
"61",613
"62",922
"63",923
"64",696
"65",697
"66",764
"67",765
"68",754
"69",755
"70",594
"71",595
"72",742
"73",743
"74",940
"75",941
"76",902
"77",903
"78",532
"79",533
"80",540
"81",541
"82",598
"83",599
"84",752
"85",753
"86",660
"87",661
"88",442
"89",443
"90",384
"91",385
"92",432
"93",433
"94",890
"95",891
"96",638
"97",639
"98",822
"99",823
"100",904
"101",905
"102",526
"103",527
"104",942
"105",943
"106",878
"107",879
"108",808
"109",809
"110",974
"111",975
"112",1124
"113",1125
"114",1132
"115",1133
"116",1130
"117",1131
"118",1126
"119",1127
"120",1080
"121",1081
"122",1134
"123",1135
"124",734
"125",735
"126",1176
"127",1177
"128",832
"129",833
"130",602
"131",603
"132",674
"133",675
"134",548
"135",549
"136",1206
"137",1207
"138",1170
"139",1171
"140",804
"141",805
"142",596
"143",597
"144",610
"145",611
"146",648
"147",649
"148",864
"149",865
"150",1006
"151",1007
"152",1110
"153",1111
"154",620
"155",621
"156",568
"157",569
"158",1112
"159",1113
"160",1086
"161",1087
"162",604
"163",605
"164",1092
"165",1093
"166",1102
"167",1103
"168",520
"169",521
"170",560
"171",561
"172",1264
"173",1265
"174",1084
"175",1085
"176",1088
"177",1089
"178",986
"179",987
"180",1098
"181",1099
"182",1052
"183",1053
"184",546
"185",547
"186",1116
"187",1117
"188",718
"189",719
"190",1108
"191",1109
"192",760
"193",761
"194",1070
"195",1071
"196",932
"197",933
"198",1144
"199",1145
"200",872
"201",873
"202",1244
"203",1245
"204",1268
"205",1269
"206",438
"207",439
"208",1220
"209",1221
"210",714
"211",715
"212",246
"213",247
"214",360
"215",361
"216",1056
"217",1057
"218",1026
"219",1027
"220",774
"221",775
"222",1276
"223",1277
"224",1266
"225",1267
"226",862
"227",863
"228",1018
"229",1019
"230",730
"231",731
"232",358
