"","x"
"1",1
"2",220
"3",221
"4",226
"5",227
"6",224
"7",225
"8",576
"9",577
"10",370
"11",371
"12",556
"13",557
"14",614
"15",615
"16",636
"17",637
"18",726
"19",727
"20",564
"21",565
"22",830
"23",831
"24",826
"25",827
"26",362
"27",363
"28",462
"29",463
"30",398
"31",399
"32",368
"33",369
"34",658
"35",659
"36",834
"37",835
"38",570
"39",571
"40",860
"41",861
"42",580
"43",581
"44",572
"45",573
"46",538
"47",539
"48",928
"49",929
"50",1000
"51",1001
"52",420
"53",421
"54",954
"55",955
"56",654
"57",655
"58",866
"59",867
"60",612
"61",613
"62",922
"63",923
"64",696
"65",697
"66",764
"67",765
"68",754
"69",755
"70",594
"71",595
"72",742
"73",743
"74",940
"75",941
"76",902
"77",903
"78",532
"79",533
"80",540
"81",541
"82",598
"83",599
"84",752
"85",753
"86",660
"87",661
"88",442
"89",443
"90",384
"91",385
"92",432
"93",433
"94",890
"95",891
"96",638
"97",639
"98",822
"99",823
"100",904
"101",905
"102",526
"103",527
"104",942
"105",943
"106",878
"107",879
"108",808
"109",809
"110",974
"111",975
"112",1124
"113",1125
"114",1034
"115",1035
"116",884
"117",885
"118",1132
"119",1133
"120",1130
"121",1131
"122",1126
"123",1127
"124",1080
"125",1081
"126",1134
"127",1135
"128",734
"129",735
"130",1176
"131",1177
"132",832
"133",833
"134",602
"135",603
"136",1206
"137",1207
"138",1170
"139",1171
"140",804
"141",805
"142",596
"143",597
"144",610
"145",611
"146",648
"147",649
"148",674
"149",675
"150",548
"151",549
"152",864
"153",865
"154",1264
"155",1265
"156",1084
"157",1085
"158",1088
"159",1089
"160",986
"161",987
"162",1098
"163",1099
"164",1052
"165",1053
"166",1006
"167",1007
"168",1110
"169",1111
"170",620
"171",621
"172",568
"173",569
"174",1112
"175",1113
"176",1086
"177",1087
"178",604
"179",605
"180",1092
"181",1093
"182",1102
"183",1103
"184",520
"185",521
"186",560
"187",561
"188",546
"189",547
"190",1116
"191",1117
"192",718
"193",719
"194",1108
"195",1109
"196",760
"197",761
"198",1070
"199",1071
"200",932
"201",933
"202",1144
"203",1145
"204",872
"205",873
"206",1244
"207",1245
"208",1268
"209",1269
"210",438
"211",439
"212",1220
"213",1221
"214",714
"215",715
"216",246
"217",247
"218",360
"219",361
"220",1056
"221",1057
"222",1026
"223",1027
"224",774
"225",775
"226",1276
"227",1277
"228",1266
"229",1267
"230",862
"231",863
"232",1018
