id,x_coord,y_coord,bearing,q,time,node
1302,2.396766339,1.862536188,NA,0,NA,1
0,2.089524398,0.387051405,249,7,56,2
1,2.039882351,0.369657448,256,0,0,3
2,2.220209973,0.37666121,304,6,48,4
3,2.183344019,0.407754833,326,0,0,5
4,2.284937046,0.397518566,239,7,56,6
5,2.24229876,0.372120309,239,0,0,7
6,2.305255651,0.408909299,60,3,24,8
7,2.323650146,0.419145566,60,0,0,9
8,2.626736009,0.177169448,100,25,200,10
9,2.658984098,0.151386369,29,0,0,11
10,2.473884682,0.280917478,84,20,160,12
11,2.52737495,0.201336274,210,0,0,13
12,2.44456124,0.221577915,303,6,48,14
13,2.391994546,0.246822243,285,0,0,15
14,2.331346587,0.423455573,240,7,56,16
15,2.290478483,0.400751071,240,0,0,17
16,2.491509533,0.190176434,303,2,16,18
17,2.483582198,0.195563943,303,0,0,19
18,2.342044641,0.267371742,302,3,24,20
19,2.323804075,0.279147297,302,0,0,21
20,2.25746075,0.304699482,57,2,16,22
21,2.269928985,0.312472888,57,0,0,23
22,2.407464393,0.31424307,257,8,64,24
23,2.33958178,0.290614995,239,0,0,25
24,2.446562315,0.307008415,336,1,8,26
25,2.446562315,0.307008415,336,0,0,27
26,2.600491143,0.233507399,341,22,176,28
27,2.45972323,0.328943273,254,0,0,29
28,2.429245322,0.419992175,101,1,8,30
29,2.429245322,0.419992175,101,0,0,31
30,2.46895896,0.411603054,281,4,32,32
31,2.424242635,0.420992712,281,0,0,33
32,3.220054677,0.504191244,267,1,8,34
33,3.220054677,0.504191244,267,0,0,35
34,3.239680602,0.496648731,344,1,8,36
35,3.239680602,0.496648731,344,0,0,37
36,3.214667168,0.33587007,163,6,48,38
37,3.215128954,0.334253817,343,0,0,39
38,3.319800558,0.346106337,341,2,16,40
39,3.318492163,0.349877593,341,0,0,41
40,3.351202039,0.316782895,83,2,16,42
41,3.352356505,0.316936824,83,0,0,43
42,3.381833875,0.274606396,160,56,448,44
43,3.380679409,0.277992831,340,0,0,45
44,3.365440455,0.330020775,162,1,8,46
45,3.365440455,0.330020775,162,0,0,47
46,3.320416273,0.344336156,161,3,24,48
47,3.326265568,0.327096127,161,0,0,49
48,3.30433071,0.452009371,264,17,136,50
49,3.313104654,0.367887266,163,0,0,51
50,3.322571276,0.467556183,342,1,8,52
51,3.322571276,0.467556183,342,0,0,53
52,3.306485714,0.452240264,84,2,16,54
53,3.306485714,0.452240264,84,0,0,55
